Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2004","University of Pennsylvania","Microbiology, immunology, and virology","First Time Students","Total for selected values","17",
"2004","University of Pennsylvania","Microbiology, immunology, and virology","First Time Students","Female","12",
"2004","University of Pennsylvania","Microbiology, immunology, and virology","First Time Students","Male","5",
"2004","University of Pennsylvania","Microbiology, immunology, and virology","Returning Students","Total for selected values","67",
"2004","University of Pennsylvania","Microbiology, immunology, and virology","Returning Students","Female","41",
"2004","University of Pennsylvania","Microbiology, immunology, and virology","Returning Students","Male","26",
"2004","University of Pennsylvania","Neurology","Total for selected values","Total for selected values","129",
"2004","University of Pennsylvania","Neurology","First Time Students","Total for selected values","31",
"2004","University of Pennsylvania","Neurology","First Time Students","Female","18",
"2004","University of Pennsylvania","Neurology","First Time Students","Male","13",
"2004","University of Pennsylvania","Neurology","Returning Students","Total for selected values","98",
"2004","University of Pennsylvania","Neurology","Returning Students","Female","43",
"2004","University of Pennsylvania","Neurology","Returning Students","Male","55",
"2004","University of Pennsylvania","Pharmacology and toxicology","Total for selected values","Total for selected values","76",
"2004","University of Pennsylvania","Pharmacology and toxicology","First Time Students","Total for selected values","12",
"2004","University of Pennsylvania","Pharmacology and toxicology","First Time Students","Female","6",
"2004","University of Pennsylvania","Pharmacology and toxicology","First Time Students","Male","6",
"2004","University of Pennsylvania","Pharmacology and toxicology","Returning Students","Total for selected values","64",
"2004","University of Pennsylvania","Pharmacology and toxicology","Returning Students","Female","34",
"2004","University of Pennsylvania","Pharmacology and toxicology","Returning Students","Male","30",
"2004","University of Pennsylvania","Physics","Total for selected values","Total for selected values","91",
"2004","University of Pennsylvania","Physics","First Time Students","Total for selected values","17",
"2004","University of Pennsylvania","Physics","First Time Students","Female","8",
"2004","University of Pennsylvania","Physics","First Time Students","Male","9",
"2004","University of Pennsylvania","Physics","Returning Students","Total for selected values","74",
"2004","University of Pennsylvania","Physics","Returning Students","Female","13",
"2004","University of Pennsylvania","Physics","Returning Students","Male","61",
"2004","University of Pennsylvania","Political science and government","Total for selected values","Total for selected values","62",
"2004","University of Pennsylvania","Political science and government","First Time Students","Total for selected values","8",
"2004","University of Pennsylvania","Political science and government","First Time Students","Female","2",
"2004","University of Pennsylvania","Political science and government","First Time Students","Male","6",
"2004","University of Pennsylvania","Political science and government","Returning Students","Total for selected values","54",
"2004","University of Pennsylvania","Political science and government","Returning Students","Female","24",
"2004","University of Pennsylvania","Political science and government","Returning Students","Male","30",
"2004","University of Pennsylvania","Psychology, general","Total for selected values","Total for selected values","49",
"2004","University of Pennsylvania","Psychology, general","First Time Students","Total for selected values","10",
"2004","University of Pennsylvania","Psychology, general","First Time Students","Female","3",
"2004","University of Pennsylvania","Psychology, general","First Time Students","Male","7",
"2004","University of Pennsylvania","Psychology, general","Returning Students","Total for selected values","39",
"2004","University of Pennsylvania","Psychology, general","Returning Students","Female","23",
"2004","University of Pennsylvania","Psychology, general","Returning Students","Male","16",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Total for selected values","Total for selected values","17",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","First Time Students","Total for selected values","2",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","First Time Students","Female","2",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Not collected","Total for selected values","2",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Not collected","Female","1",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Not collected","Male","1",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Returning Students","Total for selected values","13",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Returning Students","Female","6",
"2004","University of Pennsylvania","Social sciences not elsewhere classified","Returning Students","Male","7",
"2004","University of Pennsylvania","Sociology","Total for selected values","Total for selected values","78",
"2004","University of Pennsylvania","Sociology","First Time Students","Total for selected values","14",
"2004","University of Pennsylvania","Sociology","First Time Students","Female","7",
"2004","University of Pennsylvania","Sociology","First Time Students","Male","7",
"2004","University of Pennsylvania","Sociology","Not collected","Total for selected values","2",
"2004","University of Pennsylvania","Sociology","Not collected","Female","2",
"2004","University of Pennsylvania","Sociology","Returning Students","Total for selected values","62",
"2004","University of Pennsylvania","Sociology","Returning Students","Female","45",
"2004","University of Pennsylvania","Sociology","Returning Students","Male","17",
"2004","Yale University","Total for selected values","Total for selected values","Total for selected values","1,938",
"2004","Yale University","Agricultural sciences","Total for selected values","Total for selected values","70",
"2004","Yale University","Agricultural sciences","First Time Students","Total for selected values","9",
"2004","Yale University","Agricultural sciences","First Time Students","Female","6",
"2004","Yale University","Agricultural sciences","First Time Students","Male","3",
"2004","Yale University","Agricultural sciences","Returning Students","Total for selected values","61",
"2004","Yale University","Agricultural sciences","Returning Students","Female","29",
"2004","Yale University","Agricultural sciences","Returning Students","Male","32",
"2004","Yale University","Anthropology","Total for selected values","Total for selected values","61",
"2004","Yale University","Anthropology","First Time Students","Total for selected values","7",
"2004","Yale University","Anthropology","First Time Students","Female","3",
"2004","Yale University","Anthropology","First Time Students","Male","4",
"2004","Yale University","Anthropology","Returning Students","Total for selected values","54",
"2004","Yale University","Anthropology","Returning Students","Female","39",
"2004","Yale University","Anthropology","Returning Students","Male","15",
"2004","Yale University","Astronomy and astrophysics","Total for selected values","Total for selected values","19",
"2004","Yale University","Astronomy and astrophysics","First Time Students","Total for selected values","6",
"2004","Yale University","Astronomy and astrophysics","First Time Students","Female","4",
"2004","Yale University","Astronomy and astrophysics","First Time Students","Male","2",
"2004","Yale University","Astronomy and astrophysics","Returning Students","Total for selected values","13",
"2004","Yale University","Astronomy and astrophysics","Returning Students","Female","2",
"2004","Yale University","Astronomy and astrophysics","Returning Students","Male","11",
"2004","Yale University","Biometry and epidemiology","Total for selected values","Total for selected values","57",
"2004","Yale University","Biometry and epidemiology","First Time Students","Total for selected values","14",
"2004","Yale University","Biometry and epidemiology","First Time Students","Female","12",
"2004","Yale University","Biometry and epidemiology","First Time Students","Male","2",
"2004","Yale University","Biometry and epidemiology","Not collected","Total for selected values","1",
"2004","Yale University","Biometry and epidemiology","Not collected","Male","1",
"2004","Yale University","Biometry and epidemiology","Returning Students","Total for selected values","42",
"2004","Yale University","Biometry and epidemiology","Returning Students","Female","32",
"2004","Yale University","Biometry and epidemiology","Returning Students","Male","10",
"2004","Yale University","Biophysics","Total for selected values","Total for selected values","88",
"2004","Yale University","Biophysics","First Time Students","Total for selected values","27",
"2004","Yale University","Biophysics","First Time Students","Female","7",
"2004","Yale University","Biophysics","First Time Students","Male","20",
"2004","Yale University","Biophysics","Not collected","Total for selected values","1",
"2004","Yale University","Biophysics","Not collected","Male","1",
"2004","Yale University","Biophysics","Returning Students","Total for selected values","60",
"2004","Yale University","Biophysics","Returning Students","Female","32",
"2004","Yale University","Biophysics","Returning Students","Male","28",
"2004","Yale University","Biosciences not elsewhere classified","Total for selected values","Total for selected values","11",
"2004","Yale University","Biosciences not elsewhere classified","First Time Students","Total for selected values","3",
"2004","Yale University","Biosciences not elsewhere classified","First Time Students","Female","1",
"2004","Yale University","Biosciences not elsewhere classified","First Time Students","Male","2",
"2004","Yale University","Biosciences not elsewhere classified","Returning Students","Total for selected values","8",
"2004","Yale University","Biosciences not elsewhere classified","Returning Students","Female","3",
"2004","Yale University","Biosciences not elsewhere classified","Returning Students","Male","5",
"2004","Yale University","Cell and molecular biology","Total for selected values","Total for selected values","144",
"2004","Yale University","Cell and molecular biology","First Time Students","Total for selected values","31",
"2004","Yale University","Cell and molecular biology","First Time Students","Female","16",
"2004","Yale University","Cell and molecular biology","First Time Students","Male","15",
"2004","Yale University","Cell and molecular biology","Returning Students","Total for selected values","113",
"2004","Yale University","Cell and molecular biology","Returning Students","Female","65",
"2004","Yale University","Cell and molecular biology","Returning Students","Male","48",
"2004","Yale University","Chemical engineering","Total for selected values","Total for selected values","35",
"2004","Yale University","Chemical engineering","First Time Students","Total for selected values","3",
"2004","Yale University","Chemical engineering","First Time Students","Male","3",
"2004","Yale University","Chemical engineering","Not collected","Total for selected values","1",
"2004","Yale University","Chemical engineering","Not collected","Male","1",
"2004","Yale University","Chemical engineering","Returning Students","Total for selected values","31",
"2004","Yale University","Chemical engineering","Returning Students","Female","13",
"2004","Yale University","Chemical engineering","Returning Students","Male","18",
"2004","Yale University","Chemistry","Total for selected values","Total for selected values","139",
"2004","Yale University","Chemistry","First Time Students","Total for selected values","31",
"2004","Yale University","Chemistry","First Time Students","Female","16",
"2004","Yale University","Chemistry","First Time Students","Male","15",
"2004","Yale University","Chemistry","Returning Students","Total for selected values","108",
"2004","Yale University","Chemistry","Returning Students","Female","49",
"2004","Yale University","Chemistry","Returning Students","Male","59",
"2004","Yale University","Computer sciences","Total for selected values","Total for selected values","69",
"2004","Yale University","Computer sciences","First Time Students","Total for selected values","26",
"2004","Yale University","Computer sciences","First Time Students","Female","5",
"2004","Yale University","Computer sciences","First Time Students","Male","21",
"2004","Yale University","Computer sciences","Not collected","Total for selected values","2",
"2004","Yale University","Computer sciences","Not collected","Male","2",
"2004","Yale University","Computer sciences","Returning Students","Total for selected values","41",
"2004","Yale University","Computer sciences","Returning Students","Female","2",
"2004","Yale University","Computer sciences","Returning Students","Male","39",
"2004","Yale University","Ecology","Total for selected values","Total for selected values","31",
"2004","Yale University","Ecology","First Time Students","Total for selected values","4",
"2004","Yale University","Ecology","First Time Students","Female","2",
"2004","Yale University","Ecology","First Time Students","Male","2",
"2004","Yale University","Ecology","Returning Students","Total for selected values","27",
"2004","Yale University","Ecology","Returning Students","Female","11",
"2004","Yale University","Ecology","Returning Students","Male","16",
"2004","Yale University","Economics (except agricultural)","Total for selected values","Total for selected values","117",
"2004","Yale University","Economics (except agricultural)","First Time Students","Total for selected values","20",
"2004","Yale University","Economics (except agricultural)","First Time Students","Female","4",
"2004","Yale University","Economics (except agricultural)","First Time Students","Male","16",
"2004","Yale University","Economics (except agricultural)","Not collected","Total for selected values","1",
"2004","Yale University","Economics (except agricultural)","Not collected","Female","1",
"2004","Yale University","Economics (except agricultural)","Returning Students","Total for selected values","96",
"2004","Yale University","Economics (except agricultural)","Returning Students","Female","29",
"2004","Yale University","Economics (except agricultural)","Returning Students","Male","67",
"2004","Yale University","Electrical engineering","Total for selected values","Total for selected values","43",
"2004","Yale University","Electrical engineering","First Time Students","Total for selected values","6",
"2004","Yale University","Electrical engineering","First Time Students","Male","6",
"2004","Yale University","Electrical engineering","Returning Students","Total for selected values","37",
"2004","Yale University","Electrical engineering","Returning Students","Female","9",
"2004","Yale University","Electrical engineering","Returning Students","Male","28",
"2004","Yale University","Engineering science, mechanics, and physics","Total for selected values","Total for selected values","38",
"2004","Yale University","Engineering science, mechanics, and physics","First Time Students","Total for selected values","14",
"2004","Yale University","Engineering science, mechanics, and physics","First Time Students","Female","4",
"2004","Yale University","Engineering science, mechanics, and physics","First Time Students","Male","10",
"2004","Yale University","Engineering science, mechanics, and physics","Returning Students","Total for selected values","24",
"2004","Yale University","Engineering science, mechanics, and physics","Returning Students","Female","13",
"2004","Yale University","Engineering science, mechanics, and physics","Returning Students","Male","11",
"2004","Yale University","Genetics","Total for selected values","Total for selected values","47",
"2004","Yale University","Genetics","Returning Students","Total for selected values","47",
"2004","Yale University","Genetics","Returning Students","Female","34",
"2004","Yale University","Genetics","Returning Students","Male","13",
"2004","Yale University","Geosciences","Total for selected values","Total for selected values","33",
"2004","Yale University","Geosciences","First Time Students","Total for selected values","4",
"2004","Yale University","Geosciences","First Time Students","Female","2",
"2004","Yale University","Geosciences","First Time Students","Male","2",
"2004","Yale University","Geosciences","Returning Students","Total for selected values","29",
"2004","Yale University","Geosciences","Returning Students","Female","7",
"2004","Yale University","Geosciences","Returning Students","Male","22",
"2004","Yale University","History and philosophy of science","Total for selected values","Total for selected values","16",
"2004","Yale University","History and philosophy of science","First Time Students","Total for selected values","5",
"2004","Yale University","History and philosophy of science","First Time Students","Female","1",
"2004","Yale University","History and philosophy of science","First Time Students","Male","4",
"2004","Yale University","History and philosophy of science","Returning Students","Total for selected values","11",
"2004","Yale University","History and philosophy of science","Returning Students","Female","5",
"2004","Yale University","History and philosophy of science","Returning Students","Male","6",
"2004","Yale University","Linguistics","Total for selected values","Total for selected values","24",
"2004","Yale University","Linguistics","First Time Students","Total for selected values","7",
"2004","Yale University","Linguistics","First Time Students","Female","4",
"2004","Yale University","Linguistics","First Time Students","Male","3",
"2004","Yale University","Linguistics","Returning Students","Total for selected values","17",
"2004","Yale University","Linguistics","Returning Students","Female","8",
"2004","Yale University","Linguistics","Returning Students","Male","9",
"2004","Yale University","Mathematics and applied mathematics","Total for selected values","Total for selected values","50",
"2004","Yale University","Mathematics and applied mathematics","First Time Students","Total for selected values","8",
"2004","Yale University","Mathematics and applied mathematics","First Time Students","Male","8",
"2004","Yale University","Mathematics and applied mathematics","Returning Students","Total for selected values","42",
"2004","Yale University","Mathematics and applied mathematics","Returning Students","Female","6",
"2004","Yale University","Mathematics and applied mathematics","Returning Students","Male","36",
"2004","Yale University","Mechanical engineering","Total for selected values","Total for selected values","22",
"2004","Yale University","Mechanical engineering","First Time Students","Total for selected values","6",
"2004","Yale University","Mechanical engineering","First Time Students","Female","3",
"2004","Yale University","Mechanical engineering","First Time Students","Male","3",
"2004","Yale University","Mechanical engineering","Returning Students","Total for selected values","16",
"2004","Yale University","Mechanical engineering","Returning Students","Female","2",
"2004","Yale University","Mechanical engineering","Returning Students","Male","14",
"2004","Yale University","Microbiology, immunology, and virology","Total for selected values","Total for selected values","69",
"2004","Yale University","Microbiology, immunology, and virology","First Time Students","Total for selected values","9",
"2004","Yale University","Microbiology, immunology, and virology","First Time Students","Female","6",
"2004","Yale University","Microbiology, immunology, and virology","First Time Students","Male","3",
"2004","Yale University","Microbiology, immunology, and virology","Returning Students","Total for selected values","60",
"2004","Yale University","Microbiology, immunology, and virology","Returning Students","Female","39",
"2004","Yale University","Microbiology, immunology, and virology","Returning Students","Male","21",
"2004","Yale University","Neurology","Total for selected values","Total for selected values","51",
"2004","Yale University","Neurology","First Time Students","Total for selected values","10",
"2004","Yale University","Neurology","First Time Students","Female","3",
"2004","Yale University","Neurology","First Time Students","Male","7",
"2004","Yale University","Neurology","Returning Students","Total for selected values","41",
"2004","Yale University","Neurology","Returning Students","Female","21",
"2004","Yale University","Neurology","Returning Students","Male","20",
"2004","Yale University","Nursing science","Total for selected values","Total for selected values","249",
"2004","Yale University","Nursing science","First Time Students","Total for selected values","84",
"2004","Yale University","Nursing science","First Time Students","Female","80",
"2004","Yale University","Nursing science","First Time Students","Male","4",
"2004","Yale University","Nursing science","Not collected","Total for selected values","17",
"2004","Yale University","Nursing science","Not collected","Female","15",
"2004","Yale University","Nursing science","Not collected","Male","2",
"2004","Yale University","Nursing science","Returning Students","Total for selected values","148",
"2004","Yale University","Nursing science","Returning Students","Female","141",
"2004","Yale University","Nursing science","Returning Students","Male","7",
"2004","Yale University","Pathology","Total for selected values","Total for selected values","3",
"2004","Yale University","Pathology","Returning Students","Total for selected values","3",
"2004","Yale University","Pathology","Returning Students","Female","3",
"2004","Yale University","Pharmacology and toxicology","Total for selected values","Total for selected values","35",
"2004","Yale University","Pharmacology and toxicology","First Time Students","Total for selected values","5",
"2004","Yale University","Pharmacology and toxicology","First Time Students","Female","3",
"2004","Yale University","Pharmacology and toxicology","First Time Students","Male","2",
"2004","Yale University","Pharmacology and toxicology","Returning Students","Total for selected values","30",
"2004","Yale University","Pharmacology and toxicology","Returning Students","Female","20",
"2004","Yale University","Pharmacology and toxicology","Returning Students","Male","10",
"2004","Yale University","Physics","Total for selected values","Total for selected values","119",
"2004","Yale University","Physics","First Time Students","Total for selected values","22",
"2004","Yale University","Physics","First Time Students","Female","7",
"2004","Yale University","Physics","First Time Students","Male","15",
"2004","Yale University","Physics","Returning Students","Total for selected values","97",
"2004","Yale University","Physics","Returning Students","Female","23",
"2004","Yale University","Physics","Returning Students","Male","74",
"2004","Yale University","Physiology","Total for selected values","Total for selected values","13",
"2004","Yale University","Physiology","First Time Students","Total for selected values","2",
"2004","Yale University","Physiology","First Time Students","Female","1",
"2004","Yale University","Physiology","First Time Students","Male","1",
"2004","Yale University","Physiology","Returning Students","Total for selected values","11",
"2004","Yale University","Physiology","Returning Students","Female","2",
"2004","Yale University","Physiology","Returning Students","Male","9",
"2004","Yale University","Political science and government","Total for selected values","Total for selected values","109",
"2004","Yale University","Political science and government","First Time Students","Total for selected values","24",
"2004","Yale University","Political science and government","First Time Students","Female","13",
"2004","Yale University","Political science and government","First Time Students","Male","11",
"2004","Yale University","Political science and government","Not collected","Total for selected values","1",
"2004","Yale University","Political science and government","Not collected","Male","1",
"2004","Yale University","Political science and government","Returning Students","Total for selected values","84",
"2004","Yale University","Political science and government","Returning Students","Female","40",
"2004","Yale University","Political science and government","Returning Students","Male","44",
"2004","Yale University","Psychiatry","Total for selected values","Total for selected values","31",
"2004","Yale University","Psychiatry","First Time Students","Total for selected values","20",
"2004","Yale University","Psychiatry","First Time Students","Female","15",
"2004","Yale University","Psychiatry","First Time Students","Male","5",
"2004","Yale University","Psychiatry","Not collected","Total for selected values","6",
"2004","Yale University","Psychiatry","Not collected","Female","5",
"2004","Yale University","Psychiatry","Not collected","Male","1",
"2004","Yale University","Psychiatry","Returning Students","Total for selected values","5",
"2004","Yale University","Psychiatry","Returning Students","Female","3",
"2004","Yale University","Psychiatry","Returning Students","Male","2",
"2004","Yale University","Psychology, general","Total for selected values","Total for selected values","83",
"2004","Yale University","Psychology, general","First Time Students","Total for selected values","10",
"2004","Yale University","Psychology, general","First Time Students","Female","5",
"2004","Yale University","Psychology, general","First Time Students","Male","5",
"2004","Yale University","Psychology, general","Returning Students","Total for selected values","73",
"2004","Yale University","Psychology, general","Returning Students","Female","51",
"2004","Yale University","Psychology, general","Returning Students","Male","22",
"2004","Yale University","Sociology","Total for selected values","Total for selected values","33",
"2004","Yale University","Sociology","First Time Students","Total for selected values","4",
"2004","Yale University","Sociology","First Time Students","Female","2",
"2004","Yale University","Sociology","First Time Students","Male","2",
"2004","Yale University","Sociology","Returning Students","Total for selected values","29",
"2004","Yale University","Sociology","Returning Students","Female","16",
"2004","Yale University","Sociology","Returning Students","Male","13",
"2004","Yale University","Statistics","Total for selected values","Total for selected values","29",
"2004","Yale University","Statistics","First Time Students","Total for selected values","12",
"2004","Yale University","Statistics","First Time Students","Female","6",
"2004","Yale University","Statistics","First Time Students","Male","6",
"2004","Yale University","Statistics","Not collected","Total for selected values","7",
"2004","Yale University","Statistics","Not collected","Female","2",
"2004","Yale University","Statistics","Not collected","Male","5",
"2004","Yale University","Statistics","Returning Students","Total for selected values","10",
"2004","Yale University","Statistics","Returning Students","Female","3",
"2004","Yale University","Statistics","Returning Students","Male","7",
"2003","Total for selected values","Total for selected values","Total for selected values","Total for selected values","23,262",
"2003","Dartmouth College","Total for selected values","Total for selected values","Total for selected values","649",
"2003","Dartmouth College","Biochemistry","Total for selected values","Total for selected values","34",
"2003","Dartmouth College","Biochemistry","Returning Students","Total for selected values","34",
"2003","Dartmouth College","Biochemistry","Returning Students","Female","16",
"2003","Dartmouth College","Biochemistry","Returning Students","Male","18",
"2003","Dartmouth College","Biology","Total for selected values","Total for selected values","58",
"2003","Dartmouth College","Biology","First Time Students","Total for selected values","29",
"2003","Dartmouth College","Biology","First Time Students","Female","13",
"2003","Dartmouth College","Biology","First Time Students","Male","16",
"2003","Dartmouth College","Biology","Returning Students","Total for selected values","29",
"2003","Dartmouth College","Biology","Returning Students","Female","19",
"2003","Dartmouth College","Biology","Returning Students","Male","10",
"2003","Dartmouth College","Chemistry","Total for selected values","Total for selected values","43",
"2003","Dartmouth College","Chemistry","First Time Students","Total for selected values","15",
"2003","Dartmouth College","Chemistry","First Time Students","Female","7",
"2003","Dartmouth College","Chemistry","First Time Students","Male","8",
"2003","Dartmouth College","Chemistry","Returning Students","Total for selected values","28",
"2003","Dartmouth College","Chemistry","Returning Students","Female","11",
"2003","Dartmouth College","Chemistry","Returning Students","Male","17",
"2003","Dartmouth College","Computer sciences","Total for selected values","Total for selected values","62",
"2003","Dartmouth College","Computer sciences","First Time Students","Total for selected values","7",
"2003","Dartmouth College","Computer sciences","First Time Students","Female","1",
"2003","Dartmouth College","Computer sciences","First Time Students","Male","6",
"2003","Dartmouth College","Computer sciences","Returning Students","Total for selected values","55",
"2003","Dartmouth College","Computer sciences","Returning Students","Female","12",
"2003","Dartmouth College","Computer sciences","Returning Students","Male","43",
"2003","Dartmouth College","Engineering not elsewhere classified","Total for selected values","Total for selected values","142",
"2003","Dartmouth College","Engineering not elsewhere classified","First Time Students","Total for selected values","48",
"2003","Dartmouth College","Engineering not elsewhere classified","First Time Students","Female","12",
"2003","Dartmouth College","Engineering not elsewhere classified","First Time Students","Male","36",
"2003","Dartmouth College","Engineering not elsewhere classified","Not collected","Total for selected values","3",
"2003","Dartmouth College","Engineering not elsewhere classified","Not collected","Male","3",
"2003","Dartmouth College","Engineering not elsewhere classified","Returning Students","Total for selected values","91",
"2003","Dartmouth College","Engineering not elsewhere classified","Returning Students","Female","23",
"2003","Dartmouth College","Engineering not elsewhere classified","Returning Students","Male","68",
"2003","Dartmouth College","Genetics","Total for selected values","Total for selected values","7",
"2003","Dartmouth College","Genetics","Returning Students","Total for selected values","7",
"2003","Dartmouth College","Genetics","Returning Students","Female","2",
"2003","Dartmouth College","Genetics","Returning Students","Male","5",
"2003","Dartmouth College","Geosciences","Total for selected values","Total for selected values","19",
"2003","Dartmouth College","Geosciences","First Time Students","Total for selected values","9",
"2003","Dartmouth College","Geosciences","First Time Students","Female","7",
"2003","Dartmouth College","Geosciences","First Time Students","Male","2",
"2003","Dartmouth College","Geosciences","Returning Students","Total for selected values","10",
"2003","Dartmouth College","Geosciences","Returning Students","Female","3",
"2003","Dartmouth College","Geosciences","Returning Students","Male","7",
"2003","Dartmouth College","Mathematics and applied mathematics","Total for selected values","Total for selected values","25",
"2003","Dartmouth College","Mathematics and applied mathematics","First Time Students","Total for selected values","6",
"2003","Dartmouth College","Mathematics and applied mathematics","First Time Students","Female","2",
"2003","Dartmouth College","Mathematics and applied mathematics","First Time Students","Male","4",
"2003","Dartmouth College","Mathematics and applied mathematics","Returning Students","Total for selected values","19",
"2003","Dartmouth College","Mathematics and applied mathematics","Returning Students","Female","9",
"2003","Dartmouth College","Mathematics and applied mathematics","Returning Students","Male","10",
"2003","Dartmouth College","Microbiology, immunology, and virology","Total for selected values","Total for selected values","39",
"2003","Dartmouth College","Microbiology, immunology, and virology","Returning Students","Total for selected values","39",
"2003","Dartmouth College","Microbiology, immunology, and virology","Returning Students","Female","18",
"2003","Dartmouth College","Microbiology, immunology, and virology","Returning Students","Male","21",
"2003","Dartmouth College","Other health not elsewhere classified","Total for selected values","Total for selected values","105",
"2003","Dartmouth College","Other health not elsewhere classified","First Time Students","Total for selected values","41",
"2003","Dartmouth College","Other health not elsewhere classified","First Time Students","Female","26",
"2003","Dartmouth College","Other health not elsewhere classified","First Time Students","Male","15",
"2003","Dartmouth College","Other health not elsewhere classified","Not collected","Total for selected values","55",
"2003","Dartmouth College","Other health not elsewhere classified","Not collected","Female","29",
"2003","Dartmouth College","Other health not elsewhere classified","Not collected","Male","26",
"2003","Dartmouth College","Other health not elsewhere classified","Returning Students","Total for selected values","9",
"2003","Dartmouth College","Other health not elsewhere classified","Returning Students","Female","6",
"2003","Dartmouth College","Other health not elsewhere classified","Returning Students","Male","3",
"2003","Dartmouth College","Pathology","Total for selected values","Total for selected values","4",
"2003","Dartmouth College","Pathology","Returning Students","Total for selected values","4",
"2003","Dartmouth College","Pathology","Returning Students","Female","1",
"2003","Dartmouth College","Pathology","Returning Students","Male","3",
"2003","Dartmouth College","Pharmacology and toxicology","Total for selected values","Total for selected values","24",
"2003","Dartmouth College","Pharmacology and toxicology","First Time Students","Total for selected values","4",
"2003","Dartmouth College","Pharmacology and toxicology","First Time Students","Female","2",
"2003","Dartmouth College","Pharmacology and toxicology","First Time Students","Male","2",
"2003","Dartmouth College","Pharmacology and toxicology","Returning Students","Total for selected values","20",
"2003","Dartmouth College","Pharmacology and toxicology","Returning Students","Female","14",
"2003","Dartmouth College","Pharmacology and toxicology","Returning Students","Male","6",
"2003","Dartmouth College","Physics","Total for selected values","Total for selected values","32",
"2003","Dartmouth College","Physics","First Time Students","Total for selected values","13",
"2003","Dartmouth College","Physics","First Time Students","Female","3",
"2003","Dartmouth College","Physics","First Time Students","Male","10",
"2003","Dartmouth College","Physics","Returning Students","Total for selected values","19",
"2003","Dartmouth College","Physics","Returning Students","Female","8",
"2003","Dartmouth College","Physics","Returning Students","Male","11",
"2003","Dartmouth College","Physiology","Total for selected values","Total for selected values","19",
"2003","Dartmouth College","Physiology","First Time Students","Total for selected values","4",
"2003","Dartmouth College","Physiology","First Time Students","Female","3",
"2003","Dartmouth College","Physiology","First Time Students","Male","1",
"2003","Dartmouth College","Physiology","Returning Students","Total for selected values","15",
"2003","Dartmouth College","Physiology","Returning Students","Female","10",
"2003","Dartmouth College","Physiology","Returning Students","Male","5",
"2003","Dartmouth College","Psychology, general","Total for selected values","Total for selected values","36",
"2003","Dartmouth College","Psychology, general","First Time Students","Total for selected values","11",
"2003","Dartmouth College","Psychology, general","First Time Students","Female","6",
"2003","Dartmouth College","Psychology, general","First Time Students","Male","5",
"2003","Dartmouth College","Psychology, general","Returning Students","Total for selected values","25",
"2003","Dartmouth College","Psychology, general","Returning Students","Female","16",
"2003","Dartmouth College","Psychology, general","Returning Students","Male","9",
"2003","Duke University","Total for selected values","Total for selected values","Total for selected values","1,693",
"2003","Duke University","Agricultural sciences","Total for selected values","Total for selected values","144",
"2003","Duke University","Agricultural sciences","First Time Students","Total for selected values","31",
"2003","Duke University","Agricultural sciences","First Time Students","Female","15",
"2003","Duke University","Agricultural sciences","First Time Students","Male","16",
"2003","Duke University","Agricultural sciences","Not collected","Total for selected values","1",
"2003","Duke University","Agricultural sciences","Not collected","Male","1",
"2003","Duke University","Agricultural sciences","Returning Students","Total for selected values","112",
"2003","Duke University","Agricultural sciences","Returning Students","Female","50",
"2003","Duke University","Agricultural sciences","Returning Students","Male","62",
"2003","Duke University","Anthropology","Total for selected values","Total for selected values","54",
"2003","Duke University","Anthropology","First Time Students","Total for selected values","7",
"2003","Duke University","Anthropology","First Time Students","Female","3",
"2003","Duke University","Anthropology","First Time Students","Male","4",
"2003","Duke University","Anthropology","Returning Students","Total for selected values","47",
"2003","Duke University","Anthropology","Returning Students","Female","33",
"2003","Duke University","Anthropology","Returning Students","Male","14",
"2003","Duke University","Biochemistry","Total for selected values","Total for selected values","107",
"2003","Duke University","Biochemistry","First Time Students","Total for selected values","9",
"2003","Duke University","Biochemistry","First Time Students","Female","5",
"2003","Duke University","Biochemistry","First Time Students","Male","4",
"2003","Duke University","Biochemistry","Returning Students","Total for selected values","98",
"2003","Duke University","Biochemistry","Returning Students","Female","50",
"2003","Duke University","Biochemistry","Returning Students","Male","48",
"2003","Duke University","Biology","Total for selected values","Total for selected values","97",
"2003","Duke University","Biology","First Time Students","Total for selected values","8",
"2003","Duke University","Biology","First Time Students","Female","3",
"2003","Duke University","Biology","First Time Students","Male","5",
"2003","Duke University","Biology","Returning Students","Total for selected values","89",
"2003","Duke University","Biology","Returning Students","Female","50",
"2003","Duke University","Biology","Returning Students","Male","39",
"2003","Duke University","Biomedical engineering","Total for selected values","Total for selected values","142",
"2003","Duke University","Biomedical engineering","First Time Students","Total for selected values","34",
"2003","Duke University","Biomedical engineering","First Time Students","Female","10",
"2003","Duke University","Biomedical engineering","First Time Students","Male","24",
"2003","Duke University","Biomedical engineering","Returning Students","Total for selected values","108",
